COMAL	0 of 30 precinct reporting	56,559	62,740	22,901	24,826	855	1,106	156	191	0	0	16	18	0	0	2	2	4	9	0	0	0	0	0	0	0	0	88,892	115,876	76.71%
COMANCHE	0 of 15 precinct reporting	3,965	5,177	687	853	26	49	2	5	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,086	9,562	63.65%
CONCHO	0 of 9 precinct reporting	636	1,058	138	197	7	10	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,268	1,757	72.17%
COOKE	0 of 30 precinct reporting	10,964	15,596	2,555	3,210	100	156	19	26	0	0	7	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	18,996	27,268	69.66%
CORYELL	0 of 16 precinct reporting	12,494	15,438	6,502	7,565	289	410	57	77	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	23,493	41,450	56.68%
COTTLE	0 of 5 precinct reporting	398	540	88	113	4	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	1,041	63.59%
CRANE	0 of 4 precinct reporting	906	1,247	170	241	7	10	2	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1,503	2,663	56.44%
CROCKETT	0 of 5 precinct reporting	940	1,220	269	344	4	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,574	2,473	63.65%
CROSBY	0 of 5 precinct reporting	868	1,396	337	527	12	22	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,953	3,629	53.82%
CULBERSON	0 of 6 precinct reporting	256	415	297	438	4	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	1,709	50.56%
DALLAM	0 of 10 precinct reporting	891	1,389	128	197	8	18	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,609	3,046	52.82%
DALLAS	0 of 1,170 precinct reporting	262,463	307,076	528,439	598,576	7,311	9,635	2,742	3,667	2	2	368	477	8	11	1	1	17	21	26	35	0	0	1	1	1	2	919,504	1,398,469	65.75%
DAWSON	0 of 10 precinct reporting	2,307	2,951	589	808	18	25	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,789	7,104	53.34%
DEAF SMITH	0 of 5 precinct reporting	2,673	3,294	925	1,264	23	35	14	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,610	8,900	51.80%
DELTA	0 of 8 precinct reporting	1,489	2,162	327	403	15	24	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,592	3,949	65.64%
DENTON	0 of 186 precinct reporting	203,281	222,480	175,169	188,695	4,546	5,421	917	1,092	2	2	181	207	7	11	3	3	9	13	20	22	3	3	6	6	8	9	417,964	565,089	73.96%
DEWITT	0 of 10 precinct reporting	5,000	6,567	1,187	1,494	35	46	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,118	12,094	67.12%
DICKENS	0 of 7 precinct reporting	586	853	87	130	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	1,328	74.40%
DIMMIT	0 of 8 precinct reporting	852	1,384	1,592	2,264	8	10	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,666	7,341	49.94%
DONLEY	0 of 7 precinct reporting	1,009	1,438	143	198	6	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,648	2,322	70.97%
DUVAL	0 of 10 precinct reporting	1,800	2,443	2,126	2,575	12	22	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,053	8,346	60.54%
EASTLAND	0 of 10 precinct reporting	5,698	7,237	793	983	35	60	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8,293	12,230	67.81%
