County,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President
ROBERTS,529,17,550,680,80.88%
ROBERTSON,5646,2374,8099,11844,68.38%
ROCKWALL,36726,16412,53891,71102,75.79%
RUNNELS,3807,552,4409,7025,62.76%
RUSK,16534,4629,21377,32388,66.00%
SABINE,4784,669,5491,8050,68.21%
SAN AUGUSTINE,3007,980,4002,6108,65.52%
SAN JACINTO,10161,2337,12640,18969,66.64%
SAN PATRICIO,16516,8988,25891,43248,59.87%
SAN SABA,2308,287,2602,3776,68.91%
SCHLEICHER,940,211,1159,1709,67.82%
SCURRY,4983,818,5870,9489,61.86%
SHACKELFORD,1484,130,1628,2320,70.17%
SHELBY,7975,2068,10087,15570,64.78%
SHERMAN,886,91,992,1520,65.26%
SMITH,69080,29615,100089,146149,68.48%
SOMERVELL,4105,768,4947,6712,73.70%
STARR,8247,9123,17525,34050,51.47%
STEPHENS,3385,397,3800,5672,67.00%
STERLING,584,51,639,939,68.05%
STONEWALL,615,116,736,953,77.23%
SUTTON,1222,322,1557,2449,63.58%
SWISHER,1845,478,2355,3941,59.76%
TARRANT,409741,411567,834697,1212524,68.84%
TAYLOR,39547,14588,55135,83696,65.88%
TERRELL,334,119,458,673,68.05%
TERRY,2812,757,3612,6589,54.82%
THROCKMORTON,806,82,894,1216,73.52%
TITUS,7570,2856,10541,17666,59.67%
TOM GREEN,32313,12239,45210,70086,64.51%
TRAVIS,161337,435860,608575,854577,71.21%
TRINITY,5579,1323,6938,11541,60.12%
TYLER,8194,1403,9660,14556,66.36%
UPSHUR,15809,2877,18892,28619,66.01%
UPTON,1178,170,1368,2207,61.98%
UVALDE,6174,4073,10344,17420,59.38%
VAL VERDE,8284,6771,15280,28927,52.82%
VAN ZANDT,22270,3516,26029,38965,66.80%
VICTORIA,23358,10380,34188,56612,60.39%
WALKER,15375,7884,23612,35038,67.39%
WALLER,14260,8191,22734,35116,64.74%
WARD,3241,764,4060,6880,59.01%
WASHINGTON,12959,4261,17427,23947,72.77%
WEBB,25898,41820,68397,137840,49.62%
WHARTON,11926,4694,16761,25697,65.23%
WHEELER,2159,168,2337,3514,66.51%
WICHITA,32069,13161,46040,83575,55.09%
WILBARGER,3524,956,4524,8196,55.20%
WILLACY,2441,3108,5549,12804,43.34%
WILLIAMSON,139729,143795,289555,376672,76.87%
WILSON,18463,6350,25013,35036,71.39%
WINKLER,1753,358,2126,4013,52.98%
WISE,27032,4973,32365,45643,70.91%
WOOD,19049,3509,22779,32382,70.34%
YOAKUM,2174,420,2631,4407,59.70%
YOUNG,7110,1034,8239,11769,70.01%
ZAPATA,2033,1826,3874,8257,46.92%
ZAVALA,1490,2864,4379,8066,54.29%
